group	samples
target	SRR1791062
target	SRR4416274
target	SRR1799003
target	SRR1797051
target	SRR2059687
target	SRR2083192
target	SRR1799077
target	SRR1559166
target	SRR1798962
target	SRR1559078
target	SRR2239709
target	SRR1799062
target	SRR1797031
target	SRR4416291
target	SRR1796994
target	SRR1796918
target	SRR1796881
target	SRR5115240
target	SRR1559064
target	SRR1791142
target	SRR4416286
target	SRR1791011
target	SRR1810621
target	SRR1790995
target	SRR2042847
target	SRR1798956
target	SRR1559084
target	SRR2083108
target	SRR1791156
target	SRR1810608
target	SRR1791056
target	SRR1797012
target	SRR4416303
target	SRR1791084
target	SRR1559069
target	SRR1559152
target	SRR2083175
target	SRR1797061
target	SRR4376029
target	SRR1791006
target	SRR1810595
target	SRR1796878
target	SRR1797108
target	SRR1791024
target	SRR4376031
target	SRR2083200
target	SRR2239695
target	SRR2083129
target	SRR1791102
target	SRR1797025
target	SRR4416280
target	SRR1796923
target	SRR1799023
target	SRR1796896
target	SRR1791028
target	SRR1799049
target	SRR1799081
target	SRR2239716
target	SRR1791046
target	SRR1559081
target	SRR1799067
target	SRR1791121
target	SRR1559105
target	SRR2042838
target	SRR2083126
target	SRR1559091
target	SRR2083199
target	SRR2239672
target	SRR1559086
target	SRR3162253
target	SRR1797047
target	SRR2083137
target	SRR1797068
target	SRR1797052
target	SRR1791111
target	SRR1797007
target	SRR1796908
target	SRR1791065
target	SRR1810618
target	SRR4416288
target	SRR1797109
target	SRR1791009
target	SRR1797064
target	SRR1791072
target	SRR1796869
target	SRR4416267
target	SRR4419569
target	SRR1796887
target	SRR1796860
target	SRR1796888
target	SRR1559130
target	SRR2239714
target	SRR2059688
target	SRR1559053
target	SRR2083144
target	SRR1791055
target	SRR2239711
target	SRR1799012
target	SRR4416277
target	SRR2083156
target	SRR1799030
target	SRR4416279
target	SRR1810620
target	SRR1791132
target	SRR5912876
target	SRR2239658
target	SRR1797011
target	SRR1784862
target	SRR1791079
target	SRR1559191
target	SRR1798959
target	SRR1796873
target	SRR1791145
target	SRR1797120
target	SRR4416285
target	SRR1797050
target	SRR2083203
target	SRR1559141
target	SRR1796917
target	SRR4416295
target	SRR1791023
target	SRR1559171
target	SRR2042845
target	SRR2042839
target	SRR1791075
target	SRR4416297
target	SRR2239712
target	SRR1784866
target	SRR1559040
target	SRR2083202
target	SRR2083160
target	SRR1797013
target	SRR1559041
target	SRR1798991
target	SRR1559067
target	SRR1797006
target	SRR527439
target	SRR4419561
target	SRR1559106
target	SRR1796970
target	SRR1810626
target	SRR1810629
target	SRR1796990
target	SRR2239687
target	SRR1799055
target	SRR1797130
target	SRR4376036
target	SRR2239720
target	SRR2239691
target	SRR1798963
target	SRR1799065
target	SRR4416268
target	SRR2239663
