group	sample
target	SRR1559043
target	SRR1559044
target	SRR1559052
target	SRR1559054
target	SRR1559075
target	SRR1559100
target	SRR1559105
target	SRR1559133
target	SRR1559134
target	SRR1559145
target	SRR1559160
target	SRR1559164
target	SRR1559177
target	SRR1559183
target	SRR1559184
target	SRR1712453
target	SRR1712454
target	SRR1712455
target	SRR1712456
target	SRR1712457
target	SRR1712458
target	SRR1712459
target	SRR1712460
target	SRR1712461
target	SRR1712462
target	SRR1712463
target	SRR1712464
target	SRR1712465
target	SRR1784865
target	SRR1784867
target	SRR1791016
target	SRR1791028
target	SRR1791108
target	SRR1796863
target	SRR1796867
target	SRR1796893
target	SRR1796906
target	SRR1796912
target	SRR1796939
target	SRR1796967
target	SRR1796990
target	SRR1797014
target	SRR1797024
target	SRR1797033
target	SRR1797034
target	SRR1797035
target	SRR1797039
target	SRR1797052
target	SRR1797053
target	SRR1797055
target	SRR1797057
target	SRR1797087
target	SRR1797107
target	SRR1797111
target	SRR1799022
target	SRR1799025
target	SRR1799041
target	SRR1799042
target	SRR1799057
target	SRR1799058
target	SRR1799059
target	SRR1799061
target	SRR1799062
target	SRR1799067
target	SRR1799069
target	SRR1799081
target	SRR1810588
target	SRR2042833
target	SRR2042845
target	SRR2042853
target	SRR2042854
target	SRR2042856
target	SRR2083154
target	SRR2083162
target	SRR2083171
target	SRR2083176
target	SRR2083188
target	SRR2239703
target	SRR2239717
target	SRR3162160
target	SRR3162195
target	SRR3162212
target	SRR3162237
target	SRR3162253
target	SRR4376029
target	SRR4416297
target	SRR4419554
target	SRR4419565
