sample	bam_path	group	technology
SRR1559043	data/target/star-output/SRR1559043/Aligned.sortedByCoord.out.bam	target	short
SRR1559044	data/target/star-output/SRR1559044/Aligned.sortedByCoord.out.bam	target	short
SRR1559052	data/target/star-output/SRR1559052/Aligned.sortedByCoord.out.bam	target	short
SRR1559054	data/target/star-output/SRR1559054/Aligned.sortedByCoord.out.bam	target	short
SRR1559075	data/target/star-output/SRR1559075/Aligned.sortedByCoord.out.bam	target	short
SRR1559100	data/target/star-output/SRR1559100/Aligned.sortedByCoord.out.bam	target	short
SRR1559105	data/target/star-output/SRR1559105/Aligned.sortedByCoord.out.bam	target	short
SRR1559133	data/target/star-output/SRR1559133/Aligned.sortedByCoord.out.bam	target	short
SRR1559134	data/target/star-output/SRR1559134/Aligned.sortedByCoord.out.bam	target	short
SRR1559145	data/target/star-output/SRR1559145/Aligned.sortedByCoord.out.bam	target	short
SRR1559160	data/target/star-output/SRR1559160/Aligned.sortedByCoord.out.bam	target	short
SRR1559164	data/target/star-output/SRR1559164/Aligned.sortedByCoord.out.bam	target	short
SRR1559177	data/target/star-output/SRR1559177/Aligned.sortedByCoord.out.bam	target	short
SRR1559183	data/target/star-output/SRR1559183/Aligned.sortedByCoord.out.bam	target	short
SRR1559184	data/target/star-output/SRR1559184/Aligned.sortedByCoord.out.bam	target	short
SRR1712453	data/target/star-output/SRR1712453/Aligned.sortedByCoord.out.bam	target	short
SRR1712454	data/target/star-output/SRR1712454/Aligned.sortedByCoord.out.bam	target	short
SRR1712455	data/target/star-output/SRR1712455/Aligned.sortedByCoord.out.bam	target	short
SRR1712456	data/target/star-output/SRR1712456/Aligned.sortedByCoord.out.bam	target	short
SRR1712457	data/target/star-output/SRR1712457/Aligned.sortedByCoord.out.bam	target	short
SRR1712458	data/target/star-output/SRR1712458/Aligned.sortedByCoord.out.bam	target	short
SRR1712459	data/target/star-output/SRR1712459/Aligned.sortedByCoord.out.bam	target	short
SRR1712460	data/target/star-output/SRR1712460/Aligned.sortedByCoord.out.bam	target	short
SRR1712461	data/target/star-output/SRR1712461/Aligned.sortedByCoord.out.bam	target	short
SRR1712462	data/target/star-output/SRR1712462/Aligned.sortedByCoord.out.bam	target	short
SRR1712463	data/target/star-output/SRR1712463/Aligned.sortedByCoord.out.bam	target	short
SRR1712464	data/target/star-output/SRR1712464/Aligned.sortedByCoord.out.bam	target	short
SRR1712465	data/target/star-output/SRR1712465/Aligned.sortedByCoord.out.bam	target	short
SRR1784865	data/target/star-output/SRR1784865/Aligned.sortedByCoord.out.bam	target	short
SRR1784867	data/target/star-output/SRR1784867/Aligned.sortedByCoord.out.bam	target	short
SRR1791016	data/target/star-output/SRR1791016/Aligned.sortedByCoord.out.bam	target	short
SRR1791028	data/target/star-output/SRR1791028/Aligned.sortedByCoord.out.bam	target	short
SRR1791108	data/target/star-output/SRR1791108/Aligned.sortedByCoord.out.bam	target	short
SRR1796863	data/target/star-output/SRR1796863/Aligned.sortedByCoord.out.bam	target	short
SRR1796867	data/target/star-output/SRR1796867/Aligned.sortedByCoord.out.bam	target	short
SRR1796893	data/target/star-output/SRR1796893/Aligned.sortedByCoord.out.bam	target	short
SRR1796906	data/target/star-output/SRR1796906/Aligned.sortedByCoord.out.bam	target	short
SRR1796912	data/target/star-output/SRR1796912/Aligned.sortedByCoord.out.bam	target	short
SRR1796939	data/target/star-output/SRR1796939/Aligned.sortedByCoord.out.bam	target	short
SRR1796967	data/target/star-output/SRR1796967/Aligned.sortedByCoord.out.bam	target	short
