Run	biospecimen_repository	DATASTORE filetype	body_site	Bytes	study_name	DATASTORE provider	analyte_type	Assay Type	SRA Study	BioProject	BioSample	LibraryLayout	LibrarySelection	Center Name	biospecimen_repository_sample_id	cumulative_tb	batch_id
SRR5912863	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	8151768252	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN07445040	PAIRED	cDNA	BCCAGSC	TARGET-10-PARBVI-09A-02R	0.008151768252	1
SRR5912864	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	7886499179	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN07444958	PAIRED	cDNA	BCCAGSC	TARGET-10-PANWHW-09A-02R	0.016038267431	1
SRR5912865	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	6270949772	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN07444940	PAIRED	cDNA	BCCAGSC	TARGET-10-PANLIC-09A-02R	0.022309217203	1
SRR5912866	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	11599432641	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN07444851	PAIRED	cDNA	BCCAGSC	TARGET-10-PAPNNX-09A-02R	0.033908649844	1
SRR5912867	NCI_TARGET	fastq,run.zq,sra	Recurrent Blood Derived Cancer - Bone Marrow	8566096488	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN07445005	PAIRED	cDNA	BCCAGSC	TARGET-10-PASFXA-04A-02R	0.042474746332	1
SRR5912868	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	7260988025	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN07444850	PAIRED	cDNA	BCCAGSC	TARGET-10-PAPHZT-09B-01R	0.049735734357	1
SRR5912869	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	6011906407	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN07445076	PAIRED	cDNA	BCCAGSC	TARGET-10-PAPVTA-09A-02R	0.055747640764	1
SRR5912870	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Peripheral Blood	10300396163	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN07445049	PAIRED	cDNA	BCCAGSC	TARGET-10-PANRDC-03A-02R	0.066048036927	1
SRR5912871	NCI_TARGET	fastq,run.zq,sra	Recurrent Blood Derived Cancer - Bone Marrow	6812227915	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN07444903	PAIRED	cDNA	BCCAGSC	TARGET-10-PAPSPG-04A-02R	0.072860264842	1
SRR5912872	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Peripheral Blood	8806674747	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN07445083	PAIRED	cDNA	BCCAGSC	TARGET-10-PASCIU-03A-02R	0.081666939589	1
SRR5912873	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	10251662072	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN07444830	PAIRED	cDNA	BCCAGSC	TARGET-10-PAPIJM-09A-02R	0.091918601661	1
SRR5912874	NCI_TARGET	fastq,run.zq,sra	Recurrent Blood Derived Cancer - Bone Marrow	6895148917	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN07444910	PAIRED	cDNA	BCCAGSC	TARGET-10-PAPDUV-04A-02R	0.098813750578	1
SRR5912875	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	6957104189	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN07444923	PAIRED	cDNA	BCCAGSC	TARGET-10-PANKAK-09A-02R	0.105770854767	1
SRR5912876	NCI_TARGET	fastq,run.zq,sra	Recurrent Blood Derived Cancer - Bone Marrow	7060179042	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN07445015	PAIRED	cDNA	BCCAGSC	TARGET-10-PANTSM-04A-02R	0.112831033809	1
SRR5115239	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	7979059451	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN05784924	PAIRED	cDNA	BCCAGSC	TARGET-10-PASDYM-09B-01R	0.12081009326	1
SRR5115240	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	9715863961	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN05784870	PAIRED	cDNA	BCCAGSC	TARGET-10-PAPRMM-09B-01R	0.130525957221	1
SRR5115241	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	8074528001	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2	gs,ncbi,s3	RNA	RNA-Seq	SRP011999	PRJNA89529	SAMN05784792	PAIRED	cDNA	BCCAGSC	TARGET-10-PAPHYN-09B-01R	0.138600485222	1
SRR527438	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	6559196307	TARGET: Acute Lymphoblastic Leukemia (ALL) Pilot Phase 1	gs,ncbi,s3	RNA	RNA-Seq	SRP011998	PRJNA89519	SAMN01093638	PAIRED	RANDOM PCR	STJUDE	TARGET-10-PANNGL-09A-01R	0.145159681529	1
SRR527439	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	6088462166	TARGET: Acute Lymphoblastic Leukemia (ALL) Pilot Phase 1	gs,ncbi,s3	RNA	RNA-Seq	SRP011998	PRJNA89519	SAMN01093636	PAIRED	RANDOM PCR	STJUDE	TARGET-10-PANSFD-09A-01R	0.151248143695	1
SRR527440	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	11314068467	TARGET: Acute Lymphoblastic Leukemia (ALL) Pilot Phase 1	gs,ncbi,s3	RNA	RNA-Seq	SRP011998	PRJNA89519	SAMN01093637	PAIRED	RANDOM PCR	STJUDE	TARGET-10-PANEHF-09A-01R	0.162562212162	1
SRR2239653	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	1711880035	TARGET: Acute Myeloid Leukemia (AML)	s3,ncbi,gs	RNA	RNA-Seq	SRP012000	PRJNA89525	SAMN01778271	PAIRED	cDNA	HAIB	TARGET-20-PABHET-09A-01R	0.164274092197	1
SRR2239672	NCI_TARGET	sra,run.zq,fastq	Primary Blood Derived Cancer - Bone Marrow	1709442416	TARGET: Acute Myeloid Leukemia (AML)	s3,gs,ncbi	RNA	RNA-Seq	SRP012000	PRJNA89525	SAMN01778263	PAIRED	cDNA	HAIB	TARGET-20-PANLRE-09A-01R	0.165983534613	1
SRR2239674	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	1779128423	TARGET: Acute Myeloid Leukemia (AML)	s3,ncbi,gs	RNA	RNA-Seq	SRP012000	PRJNA89525	SAMN01778048	PAIRED	cDNA	HAIB	TARGET-20-PANRIK-09A-01R	0.167762663036	1
SRR2239675	NCI_TARGET	sra,fastq,run.zq	Primary Blood Derived Cancer - Bone Marrow	1326195081	TARGET: Acute Myeloid Leukemia (AML)	gs,ncbi,s3	RNA	RNA-Seq	SRP012000	PRJNA89525	SAMN01778068	PAIRED	cDNA	HAIB	TARGET-20-PANSJB-09A-01R	0.169088858117	1
SRR2239676	NCI_TARGET	run.zq,sra,fastq	Primary Blood Derived Cancer - Bone Marrow	2297129509	TARGET: Acute Myeloid Leukemia (AML)	gs,ncbi,s3	RNA	RNA-Seq	SRP012000	PRJNA89525	SAMN01778042	PAIRED	cDNA	HAIB	TARGET-20-PANTPW-09A-01R	0.171385987626	1
SRR2239677	NCI_TARGET	fastq,run.zq,sra	Primary Blood Derived Cancer - Bone Marrow	1528404220	TARGET: Acute Myeloid Leukemia (AML)	s3,ncbi,gs	RNA	RNA-Seq	SRP012000	PRJNA89525	SAMN01778066	PAIRED	cDNA	HAIB	TARGET-20-PANUTB-09A-01R	0.172914391846	1
SRR2239678	NCI_TARGET	run.zq,sra,fastq	Primary Blood Derived Cancer - Bone Marrow	2285177449	TARGET: Acute Myeloid Leukemia (AML)	ncbi,s3,gs	RNA	RNA-Seq	SRP012000	PRJNA89525	SAMN01778028	PAIRED	cDNA	HAIB	TARGET-20-PANVGP-09A-01R	0.175199569295	1
