Run	SRA Study	BioProject	BioSample	study_name
SRR1712461	SRP012001	PRJNA89537	SAMN02386338	TARGET: Kidney\, Clear Cell Sarcoma of the Kidney (CCSK)
SRR1712456	SRP012001	PRJNA89537	SAMN02386335	TARGET: Kidney\, Clear Cell Sarcoma of the Kidney (CCSK)
SRR1712459	SRP012001	PRJNA89537	SAMN02386342	TARGET: Kidney\, Clear Cell Sarcoma of the Kidney (CCSK)
SRR1712453	SRP012001	PRJNA89537	SAMN02386336	TARGET: Kidney\, Clear Cell Sarcoma of the Kidney (CCSK)
SRR1712454	SRP012001	PRJNA89537	SAMN02386344	TARGET: Kidney\, Clear Cell Sarcoma of the Kidney (CCSK)
SRR1712457	SRP012001	PRJNA89537	SAMN02386347	TARGET: Kidney\, Clear Cell Sarcoma of the Kidney (CCSK)
SRR1712463	SRP012001	PRJNA89537	SAMN02386345	TARGET: Kidney\, Clear Cell Sarcoma of the Kidney (CCSK)
SRR1712455	SRP012001	PRJNA89537	SAMN02386339	TARGET: Kidney\, Clear Cell Sarcoma of the Kidney (CCSK)
SRR1712465	SRP012001	PRJNA89537	SAMN02386343	TARGET: Kidney\, Clear Cell Sarcoma of the Kidney (CCSK)
SRR1712458	SRP012001	PRJNA89537	SAMN02386341	TARGET: Kidney\, Clear Cell Sarcoma of the Kidney (CCSK)
SRR1712464	SRP012001	PRJNA89537	SAMN02386340	TARGET: Kidney\, Clear Cell Sarcoma of the Kidney (CCSK)
SRR1712462	SRP012001	PRJNA89537	SAMN02386337	TARGET: Kidney\, Clear Cell Sarcoma of the Kidney (CCSK)
SRR1712460	SRP012001	PRJNA89537	SAMN02386346	TARGET: Kidney\, Clear Cell Sarcoma of the Kidney (CCSK)
SRR1799042	SRP012005	PRJNA89539	SAMN02443662	TARGET: Kidney\, Rhabdoid Tumor (RT)
SRR1799081	SRP012005	PRJNA89539	SAMN01778490	TARGET: Kidney\, Rhabdoid Tumor (RT)
SRR2042854	SRP012005	PRJNA89539	SAMN03153958	TARGET: Kidney\, Rhabdoid Tumor (RT)
SRR2042833	SRP012005	PRJNA89539	SAMN03154004	TARGET: Kidney\, Rhabdoid Tumor (RT)
SRR2042853	SRP012005	PRJNA89539	SAMN03153928	TARGET: Kidney\, Rhabdoid Tumor (RT)
SRR1799061	SRP012005	PRJNA89539	SAMN01778487	TARGET: Kidney\, Rhabdoid Tumor (RT)
SRR2042856	SRP012005	PRJNA89539	SAMN03153945	TARGET: Kidney\, Rhabdoid Tumor (RT)
SRR1799058	SRP012005	PRJNA89539	SAMN01778504	TARGET: Kidney\, Rhabdoid Tumor (RT)
SRR1799069	SRP012005	PRJNA89539	SAMN01778463	TARGET: Kidney\, Rhabdoid Tumor (RT)
SRR1799057	SRP012005	PRJNA89539	SAMN01778447	TARGET: Kidney\, Rhabdoid Tumor (RT)
SRR1799059	SRP012005	PRJNA89539	SAMN01778448	TARGET: Kidney\, Rhabdoid Tumor (RT)
SRR2042845	SRP012005	PRJNA89539	SAMN03153994	TARGET: Kidney\, Rhabdoid Tumor (RT)
SRR1799067	SRP012005	PRJNA89539	SAMN01778453	TARGET: Kidney\, Rhabdoid Tumor (RT)
SRR1799062	SRP012005	PRJNA89539	SAMN01778480	TARGET: Kidney\, Rhabdoid Tumor (RT)
SRR1799041	SRP012005	PRJNA89539	SAMN01778479	TARGET: Kidney\, Rhabdoid Tumor (RT)
SRR1797014	SRP012006	PRJNA89521	SAMN02724643	TARGET: Kidney\, Wilms Tumor (WT)
SRR1797057	SRP012006	PRJNA89521	SAMN02724564	TARGET: Kidney\, Wilms Tumor (WT)
SRR1797035	SRP012006	PRJNA89521	SAMN02724450	TARGET: Kidney\, Wilms Tumor (WT)
SRR1796990	SRP012006	PRJNA89521	SAMN02724546	TARGET: Kidney\, Wilms Tumor (WT)
SRR1796967	SRP012006	PRJNA89521	SAMN02724723	TARGET: Kidney\, Wilms Tumor (WT)
SRR1784867	SRP012006	PRJNA89521	SAMN02724509	TARGET: Kidney\, Wilms Tumor (WT)
SRR1797053	SRP012006	PRJNA89521	SAMN02724684	TARGET: Kidney\, Wilms Tumor (WT)
SRR1797024	SRP012006	PRJNA89521	SAMN02724441	TARGET: Kidney\, Wilms Tumor (WT)
SRR1797033	SRP012006	PRJNA89521	SAMN02724698	TARGET: Kidney\, Wilms Tumor (WT)
SRR1797034	SRP012006	PRJNA89521	SAMN02724662	TARGET: Kidney\, Wilms Tumor (WT)
SRR1784865	SRP012006	PRJNA89521	SAMN02724458	TARGET: Kidney\, Wilms Tumor (WT)
SRR1797039	SRP012006	PRJNA89521	SAMN02724668	TARGET: Kidney\, Wilms Tumor (WT)
SRR1797052	SRP012006	PRJNA89521	SAMN02724586	TARGET: Kidney\, Wilms Tumor (WT)
SRR1796939	SRP012006	PRJNA89521	SAMN02724573	TARGET: Kidney\, Wilms Tumor (WT)
SRR1797055	SRP012006	PRJNA89521	SAMN02724539	TARGET: Kidney\, Wilms Tumor (WT)
SRR1559164	SRP012002	PRJNA89523	SAMN02443537	TARGET: Neuroblastoma (NBL)
SRR1559054	SRP012002	PRJNA89523	SAMN02443465	TARGET: Neuroblastoma (NBL)
SRR1559044	SRP012002	PRJNA89523	SAMN02443427	TARGET: Neuroblastoma (NBL)
SRR1559160	SRP012002	PRJNA89523	SAMN02443509	TARGET: Neuroblastoma (NBL)
SRR1559075	SRP012002	PRJNA89523	SAMN02443525	TARGET: Neuroblastoma (NBL)
SRR1559177	SRP012002	PRJNA89523	SAMN02443569	TARGET: Neuroblastoma (NBL)
SRR1559052	SRP012002	PRJNA89523	SAMN02443498	TARGET: Neuroblastoma (NBL)
SRR1559145	SRP012002	PRJNA89523	SAMN02443556	TARGET: Neuroblastoma (NBL)
SRR1559134	SRP012002	PRJNA89523	SAMN02443505	TARGET: Neuroblastoma (NBL)
SRR1559100	SRP012002	PRJNA89523	SAMN02443582	TARGET: Neuroblastoma (NBL)
SRR1559183	SRP012002	PRJNA89523	SAMN02443523	TARGET: Neuroblastoma (NBL)
SRR1559184	SRP012002	PRJNA89523	SAMN00116525	TARGET: Neuroblastoma (NBL)
SRR1559133	SRP012002	PRJNA89523	SAMN02443420	TARGET: Neuroblastoma (NBL)
SRR1559105	SRP012002	PRJNA89523	SAMN02443538	TARGET: Neuroblastoma (NBL)
SRR1559043	SRP012002	PRJNA89523	SAMN02443542	TARGET: Neuroblastoma (NBL)
SRR1791028	SRP011999	PRJNA89529	SAMN02724414	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2
SRR3162253	SRP011999	PRJNA89529	SAMN04486241	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2
SRR1797087	SRP011999	PRJNA89529	SAMN02386141	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2
SRR1791108	SRP011999	PRJNA89529	SAMN02723059	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2
SRR1791016	SRP011999	PRJNA89529	SAMN02385951	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2
SRR1797107	SRP011999	PRJNA89529	SAMN02723321	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2
SRR3162160	SRP011999	PRJNA89529	SAMN04486343	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2
SRR3162212	SRP011999	PRJNA89529	SAMN04486306	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2
SRR4416297	SRP011999	PRJNA89529	SAMN05784798	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2
SRR4376029	SRP011999	PRJNA89529	SAMN05784791	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2
SRR3162195	SRP011999	PRJNA89529	SAMN04486123	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2
SRR1797111	SRP011999	PRJNA89529	SAMN02386027	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2
SRR3162237	SRP011999	PRJNA89529	SAMN04486141	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2
SRR4419554	SRP011999	PRJNA89529	SAMN05784704	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2
SRR4419565	SRP011999	PRJNA89529	SAMN05784746	TARGET: Acute Lymphoblastic Leukemia (ALL) Expansion Phase 2
SRR1810588	SRP012000	PRJNA89525	SAMN01778229	TARGET: Acute Myeloid Leukemia (AML)
SRR2083176	SRP012000	PRJNA89525	SAMN01778212	TARGET: Acute Myeloid Leukemia (AML)
SRR1796867	SRP012000	PRJNA89525	SAMN02260522	TARGET: Acute Myeloid Leukemia (AML)
SRR2239717	SRP012000	PRJNA89525	SAMN01778142	TARGET: Acute Myeloid Leukemia (AML)
SRR1799025	SRP012000	PRJNA89525	SAMN01778672	TARGET: Acute Myeloid Leukemia (AML)
SRR1796863	SRP012000	PRJNA89525	SAMN02260509	TARGET: Acute Myeloid Leukemia (AML)
SRR2083188	SRP012000	PRJNA89525	SAMN01778164	TARGET: Acute Myeloid Leukemia (AML)
SRR2239703	SRP012000	PRJNA89525	SAMN01778276	TARGET: Acute Myeloid Leukemia (AML)
SRR1799022	SRP012000	PRJNA89525	SAMN01778633	TARGET: Acute Myeloid Leukemia (AML)
SRR2083162	SRP012000	PRJNA89525	SAMN01778254	TARGET: Acute Myeloid Leukemia (AML)
SRR1796906	SRP012000	PRJNA89525	SAMN02260458	TARGET: Acute Myeloid Leukemia (AML)
SRR1796893	SRP012000	PRJNA89525	SAMN02443325	TARGET: Acute Myeloid Leukemia (AML)
SRR2083171	SRP012000	PRJNA89525	SAMN01778244	TARGET: Acute Myeloid Leukemia (AML)
SRR2083154	SRP012000	PRJNA89525	SAMN01778192	TARGET: Acute Myeloid Leukemia (AML)
SRR1796912	SRP012000	PRJNA89525	SAMN02443026	TARGET: Acute Myeloid Leukemia (AML)
