sample	bam_path	group	technology
SRR1559043	../shiba-run-data/target/star-output/SRR1559043/Aligned.sortedByCoord.out.bam	target	short
SRR1559044	../shiba-run-data/target/star-output/SRR1559044/Aligned.sortedByCoord.out.bam	target	short
SRR1559052	../shiba-run-data/target/star-output/SRR1559052/Aligned.sortedByCoord.out.bam	target	short
SRR1559054	../shiba-run-data/target/star-output/SRR1559054/Aligned.sortedByCoord.out.bam	target	short
SRR1559075	../shiba-run-data/target/star-output/SRR1559075/Aligned.sortedByCoord.out.bam	target	short
SRR1559100	../shiba-run-data/target/star-output/SRR1559100/Aligned.sortedByCoord.out.bam	target	short
SRR1559105	../shiba-run-data/target/star-output/SRR1559105/Aligned.sortedByCoord.out.bam	target	short
SRR1559133	../shiba-run-data/target/star-output/SRR1559133/Aligned.sortedByCoord.out.bam	target	short
SRR1559134	../shiba-run-data/target/star-output/SRR1559134/Aligned.sortedByCoord.out.bam	target	short
SRR1559145	../shiba-run-data/target/star-output/SRR1559145/Aligned.sortedByCoord.out.bam	target	short
SRR1559160	../shiba-run-data/target/star-output/SRR1559160/Aligned.sortedByCoord.out.bam	target	short
SRR1559164	../shiba-run-data/target/star-output/SRR1559164/Aligned.sortedByCoord.out.bam	target	short
SRR1559177	../shiba-run-data/target/star-output/SRR1559177/Aligned.sortedByCoord.out.bam	target	short
SRR1559183	../shiba-run-data/target/star-output/SRR1559183/Aligned.sortedByCoord.out.bam	target	short
SRR1559184	../shiba-run-data/target/star-output/SRR1559184/Aligned.sortedByCoord.out.bam	target	short
SRR1712453	../shiba-run-data/target/star-output/SRR1712453/Aligned.sortedByCoord.out.bam	target	short
SRR1712454	../shiba-run-data/target/star-output/SRR1712454/Aligned.sortedByCoord.out.bam	target	short
SRR1712455	../shiba-run-data/target/star-output/SRR1712455/Aligned.sortedByCoord.out.bam	target	short
SRR1712456	../shiba-run-data/target/star-output/SRR1712456/Aligned.sortedByCoord.out.bam	target	short
SRR1712457	../shiba-run-data/target/star-output/SRR1712457/Aligned.sortedByCoord.out.bam	target	short
SRR1712458	../shiba-run-data/target/star-output/SRR1712458/Aligned.sortedByCoord.out.bam	target	short
SRR1712459	../shiba-run-data/target/star-output/SRR1712459/Aligned.sortedByCoord.out.bam	target	short
SRR1712460	../shiba-run-data/target/star-output/SRR1712460/Aligned.sortedByCoord.out.bam	target	short
SRR1712461	../shiba-run-data/target/star-output/SRR1712461/Aligned.sortedByCoord.out.bam	target	short
SRR1712462	../shiba-run-data/target/star-output/SRR1712462/Aligned.sortedByCoord.out.bam	target	short
SRR1712463	../shiba-run-data/target/star-output/SRR1712463/Aligned.sortedByCoord.out.bam	target	short
SRR1712464	../shiba-run-data/target/star-output/SRR1712464/Aligned.sortedByCoord.out.bam	target	short
SRR1712465	../shiba-run-data/target/star-output/SRR1712465/Aligned.sortedByCoord.out.bam	target	short
SRR1784865	../shiba-run-data/target/star-output/SRR1784865/Aligned.sortedByCoord.out.bam	target	short
SRR1784867	../shiba-run-data/target/star-output/SRR1784867/Aligned.sortedByCoord.out.bam	target	short
SRR1791016	../shiba-run-data/target/star-output/SRR1791016/Aligned.sortedByCoord.out.bam	target	short
SRR1791028	../shiba-run-data/target/star-output/SRR1791028/Aligned.sortedByCoord.out.bam	target	short
SRR1791108	../shiba-run-data/target/star-output/SRR1791108/Aligned.sortedByCoord.out.bam	target	short
SRR1796863	../shiba-run-data/target/star-output/SRR1796863/Aligned.sortedByCoord.out.bam	target	short
SRR1796867	../shiba-run-data/target/star-output/SRR1796867/Aligned.sortedByCoord.out.bam	target	short
SRR1796893	../shiba-run-data/target/star-output/SRR1796893/Aligned.sortedByCoord.out.bam	target	short
SRR1796906	../shiba-run-data/target/star-output/SRR1796906/Aligned.sortedByCoord.out.bam	target	short
SRR1796912	../shiba-run-data/target/star-output/SRR1796912/Aligned.sortedByCoord.out.bam	target	short
SRR1796939	../shiba-run-data/target/star-output/SRR1796939/Aligned.sortedByCoord.out.bam	target	short
SRR1796967	../shiba-run-data/target/star-output/SRR1796967/Aligned.sortedByCoord.out.bam	target	short
SRR1796990	../shiba-run-data/target/star-output/SRR1796990/Aligned.sortedByCoord.out.bam	target	short
SRR1797014	../shiba-run-data/target/star-output/SRR1797014/Aligned.sortedByCoord.out.bam	target	short
SRR1797024	../shiba-run-data/target/star-output/SRR1797024/Aligned.sortedByCoord.out.bam	target	short
SRR1797033	../shiba-run-data/target/star-output/SRR1797033/Aligned.sortedByCoord.out.bam	target	short
SRR1797034	../shiba-run-data/target/star-output/SRR1797034/Aligned.sortedByCoord.out.bam	target	short
SRR1797035	../shiba-run-data/target/star-output/SRR1797035/Aligned.sortedByCoord.out.bam	target	short
SRR1797039	../shiba-run-data/target/star-output/SRR1797039/Aligned.sortedByCoord.out.bam	target	short
SRR1797052	../shiba-run-data/target/star-output/SRR1797052/Aligned.sortedByCoord.out.bam	target	short
SRR1797053	../shiba-run-data/target/star-output/SRR1797053/Aligned.sortedByCoord.out.bam	target	short
SRR1797055	../shiba-run-data/target/star-output/SRR1797055/Aligned.sortedByCoord.out.bam	target	short
SRR1797057	../shiba-run-data/target/star-output/SRR1797057/Aligned.sortedByCoord.out.bam	target	short
