event_id	pos_id	exon_a	exon_b	intron_a1	intron_a2	intron_b1	intron_b2	strand	gene_id	gene_name	label	SRR601500_junction_a1	SRR601500_junction_a2	SRR601500_junction_b1	SRR601500_junction_b2	SRR601500_PSI	SRR604528_junction_a1	SRR604528_junction_a2	SRR604528_junction_b1	SRR604528_junction_b2	SRR604528_PSI
MXE_5	MXE@GL000195.1@138140@140414-140516@140548-140597@140706	GL000195.1:140414-140516	GL000195.1:140548-140597	GL000195.1:138140-140414	GL000195.1:140516-140706	GL000195.1:138140-140548	GL000195.1:140597-140706	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0	0		2	0	0	0	
MXE_6	MXE@GL000195.1@138140@140425-140516@140548-140597@140706	GL000195.1:140425-140516	GL000195.1:140548-140597	GL000195.1:138140-140425	GL000195.1:140516-140706	GL000195.1:138140-140548	GL000195.1:140597-140706	+	ENSG00000308185.1	ENSG00000308185	annotated	1	0	0	0		3	0	0	0	
MXE_10	MXE@chr10@100246935@100250110-100250178@100250248-100250332@100253421	chr10:100250110-100250178	chr10:100250248-100250332	chr10:100246935-100250110	chr10:100250178-100253421	chr10:100246935-100250248	chr10:100250332-100253421	-	ENSG00000095485.18	CWF19L1	annotated	0	0	27	19	0.0	0	0	10	9	
MXE_11	MXE@chr10@103333952@103339502-103339769@103345024-103345132@103347238	chr10:103339502-103339769	chr10:103345024-103345132	chr10:103333952-103339502	chr10:103339769-103347238	chr10:103333952-103345024	chr10:103345132-103347238	-	ENSG00000156374.16	PCGF6	annotated	0	0	2	6		0	0	6	2	
MXE_12	MXE@chr10@103857338@103858227-103858288@103882645-103882841@103889072	chr10:103858227-103858288	chr10:103882645-103882841	chr10:103857338-103858227	chr10:103858288-103889072	chr10:103857338-103882645	chr10:103882841-103889072	-	ENSG00000107960.12	STN1	annotated	0	0	0	26	0.0	0	0	0	8	
MXE_13	MXE@chr10@110900526@110901538-110901585@110918121-110918213@110919121	chr10:110901538-110901585	chr10:110918121-110918213	chr10:110900526-110901538	chr10:110901585-110919121	chr10:110900526-110918121	chr10:110918213-110919121	-	ENSG00000214413.9	BBIP1	annotated	95	0	0	41	0.6985294117647058	59	0	0	28	0.6781609195402298
MXE_15	MXE@chr10@119500259@119515383-119515455@119515509-119515652@119526032	chr10:119515383-119515455	chr10:119515509-119515652	chr10:119500259-119515383	chr10:119515455-119526032	chr10:119500259-119515509	chr10:119515652-119526032	-	ENSG00000148908.15	RGS10	annotated	0	0	18	8	0.0	0	0	12	10	0.0
MXE_17	MXE@chr10@19389609@19450307-19450490@19488960-19489173@19491517	chr10:19450307-19450490	chr10:19488960-19489173	chr10:19389609-19450307	chr10:19450490-19491517	chr10:19389609-19488960	chr10:19489173-19491517	+	ENSG00000204740.11	MALRD1	annotated	0	0	0	0		0	0	0	1	
MXE_18	MXE@chr10@25653042@25695867-25695953@25716798-25716981@25731621	chr10:25695867-25695953	chr10:25716798-25716981	chr10:25653042-25695867	chr10:25695953-25731621	chr10:25653042-25716798	chr10:25716981-25731621	+	ENSG00000280809.6	LINC00836	annotated	0	0	0	0		0	0	1	0	
MXE_22	MXE@chr10@35167803@35171193-35171314@35178889-35178986@35179134	chr10:35171193-35171314	chr10:35178889-35178986	chr10:35167803-35171193	chr10:35171314-35179134	chr10:35167803-35178889	chr10:35178986-35179134	+	ENSG00000095794.21	CREM	annotated	0	0	0	27	0.0	0	0	0	33	0.0
