event_id	pos_id	exon_a	exon_b	intron_a	intron_b	strand	gene_id	gene_name	label	SRR601500_junction_a	SRR601500_junction_b	SRR601500_PSI	SRR604528_junction_a	SRR604528_junction_b	SRR604528_PSI
THREE_2	THREE@GL000008.2@156761-157528@156758-157528	GL000008.2:156667-156761	GL000008.2:156667-156758	GL000008.2:156761-157528	GL000008.2:156758-157528	-	ENSG00000296775.1	ENSG00000296775	annotated	0	0		0	1	
THREE_6	THREE@GL000008.2@83545-83860@83545-83927	GL000008.2:83860-84014	GL000008.2:83927-84014	GL000008.2:83545-83860	GL000008.2:83545-83927	+	ENSG00000296732.1	ENSG00000296732	annotated	0	0		1	0	
THREE_13	THREE@GL000009.2@122622-124755@122610-124755	GL000009.2:122564-122622	GL000009.2:122564-122610	GL000009.2:122622-124755	GL000009.2:122610-124755	-	ENSG00000306721.1	ENSG00000306721	annotated	0	0		1	0	
THREE_26	THREE@GL000194.1@49194-56882@49194-56885	GL000194.1:56882-57443	GL000194.1:56885-57443	GL000194.1:49194-56882	GL000194.1:49194-56885	+	ENSG00000298772.1	ENSG00000298772	annotated	1	0		0	0	
THREE_28	THREE@GL000195.1@138140-139990@138140-140414	GL000195.1:139990-140516	GL000195.1:140414-140516	GL000195.1:138140-139990	GL000195.1:138140-140414	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0		0	2	
THREE_29	THREE@GL000195.1@138140-139990@138140-140425	GL000195.1:139990-140516	GL000195.1:140425-140516	GL000195.1:138140-139990	GL000195.1:138140-140425	+	ENSG00000308185.1	ENSG00000308185	annotated	0	1		0	3	
THREE_32	THREE@GL000195.1@138140-140369@138140-140425	GL000195.1:140369-140448	GL000195.1:140425-140448	GL000195.1:138140-140369	GL000195.1:138140-140425	+	ENSG00000308185.1	ENSG00000308185	annotated	0	1		0	3	
THREE_35	THREE@GL000195.1@138140-140369@138140-140414	GL000195.1:140369-140448	GL000195.1:140414-140448	GL000195.1:138140-140369	GL000195.1:138140-140414	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0		0	2	
THREE_36	THREE@GL000195.1@138140-140387@138140-140414	GL000195.1:140387-140448	GL000195.1:140414-140448	GL000195.1:138140-140387	GL000195.1:138140-140414	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0		0	2	
THREE_38	THREE@GL000195.1@138140-140387@138140-140425	GL000195.1:140387-140448	GL000195.1:140425-140448	GL000195.1:138140-140387	GL000195.1:138140-140425	+	ENSG00000308185.1	ENSG00000308185	annotated	0	1		0	3	
THREE_39	THREE@GL000195.1@138140-140391@138140-140425	GL000195.1:140391-140448	GL000195.1:140425-140448	GL000195.1:138140-140391	GL000195.1:138140-140425	+	ENSG00000308185.1	ENSG00000308185	annotated	0	1		0	3	
THREE_40	THREE@GL000195.1@138140-140391@138140-140414	GL000195.1:140391-140448	GL000195.1:140414-140448	GL000195.1:138140-140391	GL000195.1:138140-140414	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0		0	2	
