event_id	pos_id	exon	intron_a	intron_b	intron_c	strand	gene_id	gene_name	label	SRR601500_junction_a	SRR601500_junction_b	SRR601500_junction_c	SRR601500_PSI	SRR604528_junction_a	SRR604528_junction_b	SRR604528_junction_c	SRR604528_PSI
SE_5	SE@GL000008.2@156667-156758@154715-157528	GL000008.2:156667-156758	GL000008.2:154715-156667	GL000008.2:156758-157528	GL000008.2:154715-157528	-	ENSG00000296775.1	ENSG00000296775	annotated	0	0	0		0	1	0	
SE_24	SE@GL000008.2@83860-84014@83545-85567	GL000008.2:83860-84014	GL000008.2:83545-83860	GL000008.2:84014-85567	GL000008.2:83545-85567	+	ENSG00000296732.1	ENSG00000296732	annotated	0	0	0		1	0	0	
SE_25	SE@GL000008.2@83860-84014@83545-85457	GL000008.2:83860-84014	GL000008.2:83545-83860	GL000008.2:84014-85457	GL000008.2:83545-85457	+	ENSG00000296732.1	ENSG00000296732	annotated	0	0	0		1	0	0	
SE_52	SE@GL000009.2@124033-124133@122622-124755	GL000009.2:124033-124133	GL000009.2:122622-124033	GL000009.2:124133-124755	GL000009.2:122622-124755	-	ENSG00000306721.1	ENSG00000306721	annotated	0	0	0		0	0	1	
SE_53	SE@GL000009.2@124164-124272@122622-124755	GL000009.2:124164-124272	GL000009.2:122622-124164	GL000009.2:124272-124755	GL000009.2:122622-124755	-	ENSG00000306721.1	ENSG00000306721	annotated	0	0	0		0	0	1	
SE_55	SE@GL000009.2@22153-22202@22061-28179	GL000009.2:22153-22202	GL000009.2:22061-22153	GL000009.2:22202-28179	GL000009.2:22061-28179	+	ENSG00000297619.1	ENSG00000297619	annotated	1	0	0		0	0	0	
SE_56	SE@GL000009.2@22153-22225@22061-28179	GL000009.2:22153-22225	GL000009.2:22061-22153	GL000009.2:22225-28179	GL000009.2:22061-28179	+	ENSG00000297619.1	ENSG00000297619	annotated	1	0	0		0	0	0	
SE_84	SE@GL000194.1@51895-52036@49194-56882	GL000194.1:51895-52036	GL000194.1:49194-51895	GL000194.1:52036-56882	GL000194.1:49194-56882	+	ENSG00000298772.1	ENSG00000298772	annotated	0	0	1		0	0	0	
SE_85	SE@GL000194.1@55455-55586@49194-56882	GL000194.1:55455-55586	GL000194.1:49194-55455	GL000194.1:55586-56882	GL000194.1:49194-56882	+	ENSG00000298772.1	ENSG00000298772	annotated	0	0	1		0	0	0	
SE_87	SE@GL000194.1@55488-55586@49194-56882	GL000194.1:55488-55586	GL000194.1:49194-55488	GL000194.1:55586-56882	GL000194.1:49194-56882	+	ENSG00000298772.1	ENSG00000298772	annotated	0	0	1		0	0	0	
SE_89	SE@GL000195.1@139990-140516@138140-142143	GL000195.1:139990-140516	GL000195.1:138140-139990	GL000195.1:140516-142143	GL000195.1:138140-142143	+	ENSG00000308185.1	ENSG00000308185	annotated	0	1	0		0	3	0	
SE_94	SE@GL000195.1@140369-140448@138140-140548	GL000195.1:140369-140448	GL000195.1:138140-140369	GL000195.1:140448-140548	GL000195.1:138140-140548	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		0	1	0	
SE_95	SE@GL000195.1@140369-140516@138140-142143	GL000195.1:140369-140516	GL000195.1:138140-140369	GL000195.1:140516-142143	GL000195.1:138140-142143	+	ENSG00000308185.1	ENSG00000308185	annotated	0	1	0		0	3	0	
SE_100	SE@GL000195.1@140387-140448@138140-140548	GL000195.1:140387-140448	GL000195.1:138140-140387	GL000195.1:140448-140548	GL000195.1:138140-140548	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		0	1	0	
SE_101	SE@GL000195.1@140387-140516@138140-142143	GL000195.1:140387-140516	GL000195.1:138140-140387	GL000195.1:140516-142143	GL000195.1:138140-142143	+	ENSG00000308185.1	ENSG00000308185	annotated	0	1	0		0	3	0	
SE_105	SE@GL000195.1@140391-140448@138140-140548	GL000195.1:140391-140448	GL000195.1:138140-140391	GL000195.1:140448-140548	GL000195.1:138140-140548	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		0	1	0	
SE_107	SE@GL000195.1@140391-140516@138140-142143	GL000195.1:140391-140516	GL000195.1:138140-140391	GL000195.1:140516-142143	GL000195.1:138140-142143	+	ENSG00000308185.1	ENSG00000308185	annotated	0	1	0		0	3	0	
SE_111	SE@GL000195.1@140414-140448@138140-142143	GL000195.1:140414-140448	GL000195.1:138140-140414	GL000195.1:140448-142143	GL000195.1:138140-142143	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		2	0	0	
