event_id	pos_id	exon_a	exon_b	intron_a	intron_b	strand	gene_id	gene_name	label	SRR601500_junction_a	SRR601500_junction_b	SRR601500_PSI	SRR604528_junction_a	SRR604528_junction_b	SRR604528_PSI
FIVE_9	FIVE@GL000009.2@122622-124751@122622-124759	GL000009.2:124751-124835	GL000009.2:124759-124835	GL000009.2:122622-124751	GL000009.2:122622-124759	-	ENSG00000306721.1	ENSG00000306721	annotated	1	0		0	0	
FIVE_10	FIVE@GL000009.2@122622-124751@122622-124755	GL000009.2:124751-124835	GL000009.2:124755-124835	GL000009.2:122622-124751	GL000009.2:122622-124755	-	ENSG00000306721.1	ENSG00000306721	annotated	1	0		0	1	
FIVE_11	FIVE@GL000009.2@122622-124755@122622-124759	GL000009.2:124755-124835	GL000009.2:124759-124835	GL000009.2:122622-124755	GL000009.2:122622-124759	-	ENSG00000306721.1	ENSG00000306721	annotated	0	0		1	0	
FIVE_14	FIVE@GL000195.1@140516-142143@140448-142143	GL000195.1:140369-140516	GL000195.1:140369-140448	GL000195.1:140516-142143	GL000195.1:140448-142143	+	ENSG00000308185.1	ENSG00000308185	annotated	1	0		3	0	
FIVE_24	FIVE@GL000213.1@24533-25323@24533-25334	GL000213.1:25323-25501	GL000213.1:25334-25501	GL000213.1:24533-25323	GL000213.1:24533-25334	-	ENSG00000298861.1	ENSG00000298861	annotated	1	0		0	0	
FIVE_41	FIVE@GL000218.1@39019-39874@39019-40642	GL000218.1:39874-40872	GL000218.1:40642-40872	GL000218.1:39019-39874	GL000218.1:39019-40642	-	ENSG00000301761.1	ENSG00000301761	annotated	1	0		0	0	
FIVE_48	FIVE@GL000218.1@95232-97364@95232-97368	GL000218.1:97364-97408	GL000218.1:97368-97408	GL000218.1:95232-97364	GL000218.1:95232-97368	-	ENSG00000301761.1	ENSG00000301761	annotated	0	10	0.0	0	11	0.0
FIVE_53	FIVE@GL000218.1@95232-97368@95232-97372	GL000218.1:97368-97448	GL000218.1:97372-97448	GL000218.1:95232-97368	GL000218.1:95232-97372	-	ENSG00000301761.1	ENSG00000301761	annotated	10	0	1.0	11	0	1.0
FIVE_54	FIVE@GL000219.1@97363-98506@97363-98560	GL000219.1:98506-98659	GL000219.1:98560-98659	GL000219.1:97363-98506	GL000219.1:97363-98560	-	ENSG00000296618.1	ENSG00000296618	annotated	0	0		0	2	
FIVE_55	FIVE@GL000219.1@97363-99122@97363-99126	GL000219.1:99122-99678	GL000219.1:99126-99678	GL000219.1:97363-99122	GL000219.1:97363-99126	-	ENSG00000296618.1	ENSG00000296618	annotated	0	32	0.0	0	16	0.0
FIVE_56	FIVE@GL000219.1@97363-99122@97363-99416	GL000219.1:99122-99678	GL000219.1:99416-99678	GL000219.1:97363-99122	GL000219.1:97363-99416	-	ENSG00000296618.1	ENSG00000296618	annotated	0	48	0.0	0	24	0.0
FIVE_58	FIVE@GL000219.1@97363-99126@97363-99416	GL000219.1:99126-99678	GL000219.1:99416-99678	GL000219.1:97363-99126	GL000219.1:97363-99416	-	ENSG00000296618.1	ENSG00000296618	annotated	32	48	0.4	16	24	0.4
FIVE_60	FIVE@GL000219.1@98659-99126@98659-99416	GL000219.1:99126-99678	GL000219.1:99416-99678	GL000219.1:98659-99126	GL000219.1:98659-99416	-	ENSG00000296618.1	ENSG00000296618	annotated	0	1		0	4	
FIVE_61	FIVE@GL000221.1@77811-79228@77811-79828	GL000221.1:79228-79980	GL000221.1:79828-79980	GL000221.1:77811-79228	GL000221.1:77811-79828	-	ENSG00000304745.1	ENSG00000304745	annotated	1	2		0	3	
FIVE_62	FIVE@GL000221.1@77811-79228@77811-79951	GL000221.1:79228-80010	GL000221.1:79951-80010	GL000221.1:77811-79228	GL000221.1:77811-79951	-	ENSG00000304745.1	ENSG00000304745	annotated	1	0		0	0	
FIVE_63	FIVE@GL000221.1@77811-79630@77811-79828	GL000221.1:79630-80002	GL000221.1:79828-80002	GL000221.1:77811-79630	GL000221.1:77811-79828	-	ENSG00000304745.1	ENSG00000304745	annotated	0	2		0	3	
FIVE_65	FIVE@GL000221.1@77811-79744@77811-79828	GL000221.1:79744-79951	GL000221.1:79828-79951	GL000221.1:77811-79744	GL000221.1:77811-79828	-	ENSG00000304745.1	ENSG00000304745	annotated	0	2		0	3	
FIVE_67	FIVE@GL000221.1@79420-79828@79420-79951	GL000221.1:79828-80002	GL000221.1:79951-80002	GL000221.1:79420-79828	GL000221.1:79420-79951	-	ENSG00000304745.1	ENSG00000304745	annotated	0	1		0	0	
FIVE_70	FIVE@GL000221.1@77811-79828@77811-79951	GL000221.1:79828-80002	GL000221.1:79951-80002	GL000221.1:77811-79828	GL000221.1:77811-79951	-	ENSG00000304745.1	ENSG00000304745	annotated	2	0		3	0	
FIVE_71	FIVE@GL000221.1@79513-79828@79513-79951	GL000221.1:79828-80002	GL000221.1:79951-80002	GL000221.1:79513-79828	GL000221.1:79513-79951	-	ENSG00000304745.1	ENSG00000304745	annotated	0	0		1	0	
FIVE_81	FIVE@KI270711.1@29488-29591@29488-32025	KI270711.1:29591-32094	KI270711.1:32025-32094	KI270711.1:29488-29591	KI270711.1:29488-32025	-	ENSG00000271254.7	ENSG00000271254	unannotated	5	0		6	2	
FIVE_83	FIVE@KI270718.1@7074-9446@7074-9580	KI270718.1:9446-9638	KI270718.1:9580-9638	KI270718.1:7074-9446	KI270718.1:7074-9580	-	ENSG00000309831.1	ENSG00000309831	annotated	1	27	0.03571428571428571	0	8	
FIVE_92	FIVE@KI270721.1@51603-51700@51603-52606	KI270721.1:51700-53024	KI270721.1:52606-53024	KI270721.1:51603-51700	KI270721.1:51603-52606	-	ENSG00000294171.1	ENSG00000294171	annotated	1	0		14	0	1.0
FIVE_116	FIVE@KI270742.1@107775-109192@107775-109792	KI270742.1:109192-109939	KI270742.1:109792-109939	KI270742.1:107775-109192	KI270742.1:107775-109792	-	ENSG00000306402.1	ENSG00000306402	annotated	0	2		0	1	
FIVE_120	FIVE@KI270742.1@107775-109708@107775-109792	KI270742.1:109708-109955	KI270742.1:109792-109955	KI270742.1:107775-109708	KI270742.1:107775-109792	-	ENSG00000306402.1	ENSG00000306402	annotated	0	2		0	1	
FIVE_123	FIVE@KI270742.1@109384-109792@109384-109915	KI270742.1:109792-109932	KI270742.1:109915-109932	KI270742.1:109384-109792	KI270742.1:109384-109915	-	ENSG00000306402.1	ENSG00000306402	annotated	0	1		0	0	
FIVE_125	FIVE@KI270742.1@107775-109792@107775-109915	KI270742.1:109792-109932	KI270742.1:109915-109932	KI270742.1:107775-109792	KI270742.1:107775-109915	-	ENSG00000306402.1	ENSG00000306402	annotated	2	0		1	0	
FIVE_134	FIVE@KI270744.1@134839-140167@134839-140777	KI270744.1:140167-140947	KI270744.1:140777-140947	KI270744.1:134839-140167	KI270744.1:134839-140777	-	ENSG00000307470.1	ENSG00000307470	annotated	0	3		2	2	
FIVE_148	FIVE@chr10@100185637-100185904@100185637-100185962	chr10:100185904-100186033	chr10:100185962-100186033	chr10:100185637-100185904	chr10:100185637-100185962	-	ENSG00000107566.14	ERLIN1	annotated	0	3		1	3	
FIVE_149	FIVE@chr10@100190968-100193298@100190968-100193389	chr10:100193298-100193431	chr10:100193389-100193431	chr10:100190968-100193298	chr10:100190968-100193389	-	ENSG00000213341.11	CHUK	annotated	17	0	1.0	11	0	1.0
FIVE_150	FIVE@chr10@100329324-100329869@100329324-100329909	chr10:100329869-100330264	chr10:100329909-100330264	chr10:100329324-100329869	chr10:100329324-100329909	-	ENSG00000107593.17	PKD2L1	annotated	4	0		0	0	
FIVE_151	FIVE@chr10@100374080-100381216@100374012-100381216	chr10:100373568-100374080	chr10:100373568-100374012	chr10:100374080-100381216	chr10:100374012-100381216	+	ENSG00000235823.6	OLMALINC	annotated	0	41	0.0	0	44	0.0
FIVE_152	FIVE@chr10@100374080-100380983@100374012-100380983	chr10:100373568-100374080	chr10:100373568-100374012	chr10:100374080-100380983	chr10:100374012-100380983	+	ENSG00000235823.6	OLMALINC	annotated	0	3		0	4	
FIVE_154	FIVE@chr10@100374083-100380983@100374012-100380983	chr10:100373568-100374083	chr10:100373568-100374012	chr10:100374083-100380983	chr10:100374012-100380983	+	ENSG00000235823.6	OLMALINC	annotated	0	3		0	4	
FIVE_156	FIVE@chr10@100374134-100381216@100374012-100381216	chr10:100373568-100374134	chr10:100373568-100374012	chr10:100374134-100381216	chr10:100374012-100381216	+	ENSG00000235823.6	OLMALINC	annotated	0	41	0.0	0	44	0.0
