event_id	pos_id	exon_a	exon_b	exon_c	intron_a	strand	gene_id	gene_name	label	SRR601500_junction_a_start	SRR601500_junction_a_end	SRR601500_junction_a	SRR601500_PSI	SRR604528_junction_a_start	SRR604528_junction_a_end	SRR604528_junction_a	SRR604528_PSI
RI_1	RI@GL000008.2@83422-83927	GL000008.2:83371-83422	GL000008.2:83927-84145	GL000008.2:83371-84145	GL000008.2:83422-83927	+	ENSG00000296732.1	ENSG00000296732	annotated	0	0	0		0	0	0	
RI_2	RI@GL000009.2@82963-83042	GL000009.2:82560-82963	GL000009.2:83042-83264	GL000009.2:82560-83264	GL000009.2:82963-83042	-	ENSG00000306721.1	ENSG00000306721	annotated	0	0	0		0	0	0	
RI_3	RI@GL000009.2@82930-83042	GL000009.2:82615-82930	GL000009.2:83042-83264	GL000009.2:82615-83264	GL000009.2:82930-83042	-	ENSG00000306721.1	ENSG00000306721	annotated	0	0	0		0	0	0	
RI_4	RI@GL000009.2@82963-83079	GL000009.2:82615-82963	GL000009.2:83079-83264	GL000009.2:82615-83264	GL000009.2:82963-83079	-	ENSG00000306721.1	ENSG00000306721	annotated	0	0	0		0	0	0	
RI_5	RI@GL000009.2@82982-83079	GL000009.2:82654-82982	GL000009.2:83079-83264	GL000009.2:82654-83264	GL000009.2:82982-83079	-	ENSG00000306721.1	ENSG00000306721	annotated	0	0	0		0	0	0	
RI_6	RI@GL000195.1@140597-140706	GL000195.1:140548-140597	GL000195.1:140706-141363	GL000195.1:140548-141363	GL000195.1:140597-140706	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		0	0	0	
RI_7	RI@GL000195.1@149164-149745	GL000195.1:149089-149164	GL000195.1:149745-150087	GL000195.1:149089-150087	GL000195.1:149164-149745	+	ENSG00000308185.1	ENSG00000308185	annotated	5	0	0		3	0	0	
RI_8	RI@GL000195.1@149164-149329	GL000195.1:149089-149164	GL000195.1:149329-149492	GL000195.1:149089-149492	GL000195.1:149164-149329	+	ENSG00000308185.1	ENSG00000308185	annotated	5	6	0		3	5	0	
RI_9	RI@GL000195.1@152034-152495	GL000195.1:151955-152034	GL000195.1:152495-153109	GL000195.1:151955-153109	GL000195.1:152034-152495	+	ENSG00000308185.1	ENSG00000308185	annotated	0	0	0		0	0	0	
RI_10	RI@GL000195.1@83958-84057	GL000195.1:83300-83958	GL000195.1:84057-84116	GL000195.1:83300-84116	GL000195.1:83958-84057	-	ENSG00000303853.1	ENSG00000303853	annotated	0	1	0		0	0	0	
