event_id	pos_id	mse_n	exon	intron	strand	gene_id	gene_name	label	SRR601500_junction	SRR601500_PSI	SRR604528_junction	SRR604528_PSI
MSE_2	MSE@GL000008.2@154869-154964;156667-156758@154715-157528	2	GL000008.2:154869-154964;GL000008.2:156667-156758	GL000008.2:154715-154869;GL000008.2:154964-156667;GL000008.2:156758-157528;GL000008.2:154715-157528	-	ENSG00000296775.1	ENSG00000296775	annotated	0;0;0;0		0;0;1;0	
MSE_26	MSE@GL000194.1@51895-52036;55488-55586@49194-56882	2	GL000194.1:51895-52036;GL000194.1:55488-55586	GL000194.1:49194-51895;GL000194.1:52036-55488;GL000194.1:55586-56882;GL000194.1:49194-56882	+	ENSG00000298772.1	ENSG00000298772	annotated	0;0;0;1		0;0;0;0	
MSE_27	MSE@GL000195.1@140369-140516;142143-142240@138140-149089	2	GL000195.1:140369-140516;GL000195.1:142143-142240	GL000195.1:138140-140369;GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0		0;3;0;0	
MSE_28	MSE@GL000195.1@140369-140516;142143-142240;143417-143629@138140-149089	3	GL000195.1:140369-140516;GL000195.1:142143-142240;GL000195.1:143417-143629	GL000195.1:138140-140369;GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0;0		0;3;0;0;0	
MSE_29	MSE@GL000195.1@140369-140516;142143-142240;149089-149164@138140-172694	3	GL000195.1:140369-140516;GL000195.1:142143-142240;GL000195.1:149089-149164	GL000195.1:138140-140369;GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:149164-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0;0		0;3;0;0;0	
MSE_30	MSE@GL000195.1@140387-140516;142143-142240@138140-172694	2	GL000195.1:140387-140516;GL000195.1:142143-142240	GL000195.1:138140-140387;GL000195.1:140516-142143;GL000195.1:142240-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0		0;3;0;0	
MSE_31	MSE@GL000195.1@140387-140516;142143-142240@138140-149089	2	GL000195.1:140387-140516;GL000195.1:142143-142240	GL000195.1:138140-140387;GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0		0;3;0;0	
MSE_32	MSE@GL000195.1@140391-140516;142143-142240@138140-149089	2	GL000195.1:140391-140516;GL000195.1:142143-142240	GL000195.1:138140-140391;GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0		0;3;0;0	
MSE_33	MSE@GL000195.1@140414-140448;142143-142240;143417-143629@138140-149089	3	GL000195.1:140414-140448;GL000195.1:142143-142240;GL000195.1:143417-143629	GL000195.1:138140-140414;GL000195.1:140448-142143;GL000195.1:142240-143417;GL000195.1:143629-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	0;0;0;0;0		2;0;0;0;0	
MSE_34	MSE@GL000195.1@140414-140516;142125-142240@138140-149089	2	GL000195.1:140414-140516;GL000195.1:142125-142240	GL000195.1:138140-140414;GL000195.1:140516-142125;GL000195.1:142240-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	0;0;0;0		2;0;0;0	
MSE_35	MSE@GL000195.1@140414-140516;142125-142240@138140-172694	2	GL000195.1:140414-140516;GL000195.1:142125-142240	GL000195.1:138140-140414;GL000195.1:140516-142125;GL000195.1:142240-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;0;0;0		2;0;0;0	
MSE_36	MSE@GL000195.1@140414-140516;142143-142240@138140-149089	2	GL000195.1:140414-140516;GL000195.1:142143-142240	GL000195.1:138140-140414;GL000195.1:140516-142143;GL000195.1:142240-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0		2;3;0;0	
MSE_37	MSE@GL000195.1@140414-140516;142143-142240@138140-172694	2	GL000195.1:140414-140516;GL000195.1:142143-142240	GL000195.1:138140-140414;GL000195.1:140516-142143;GL000195.1:142240-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0		2;3;0;0	
MSE_38	MSE@GL000195.1@140414-140516;142143-142240@138140-167612	2	GL000195.1:140414-140516;GL000195.1:142143-142240	GL000195.1:138140-140414;GL000195.1:140516-142143;GL000195.1:142240-167612;GL000195.1:138140-167612	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0		2;3;0;0	
MSE_39	MSE@GL000195.1@140414-140516;142143-142240;143417-143629@138140-149089	3	GL000195.1:140414-140516;GL000195.1:142143-142240;GL000195.1:143417-143629	GL000195.1:138140-140414;GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-149089;GL000195.1:138140-149089	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0;0		2;3;0;0;0	
MSE_40	MSE@GL000195.1@140414-140516;142143-142240;143417-143629@138140-172694	3	GL000195.1:140414-140516;GL000195.1:142143-142240;GL000195.1:143417-143629	GL000195.1:138140-140414;GL000195.1:140516-142143;GL000195.1:142240-143417;GL000195.1:143629-172694;GL000195.1:138140-172694	+	ENSG00000308185.1	ENSG00000308185	annotated	0;1;0;0;0		2;3;0;0;0	
